,Country,Happiness Score_2015,Happiness Score_2016,Happiness Score_2017,Happiness Score_2018,Happiness Score_2019,Avg Happiness,ContinentName,City,CapitalLatitude,CapitalLongitude,Temp,Cloudiness,Wind Speed,Humidity
128,Cambodia,3.819,3.907,4.1680002212524405,4.433,4.7,4.205400044250489,Asia,Phnom Penh,11.55,104.91666699999999,75.2,20.0,14.97,57.0
129,Tanzania,3.781,3.666,3.34899997711182,3.303,3.2310000000000003,3.4659999954223637,Africa,Dar es Salaam,-6.8,39.283333,78.44,99.0,1.79,78.0
130,Madagascar,3.681,3.695,3.64400005340576,3.774,3.933,3.7454000106811516,Africa,Antananarivo,-18.916666666666668,47.516667,68.0,20.0,5.75,88.0
131,Chad,3.667,3.763,3.9360001087188703,4.301,4.35,4.003400021743774,Africa,N'Djamena,12.1,15.033332999999999,64.4,0.0,10.36,14.0
132,Guinea,3.656,3.607,3.50699996948242,3.964,4.534,3.8535999938964838,Africa,Conakry,9.5,-13.7,82.4,75.0,9.22,78.0
133,Ivory Coast,3.655,3.916,4.17999982833862,4.671,4.944,4.273199965667724,,,,,,,,
134,Burkina Faso,3.587,3.739,4.03200006484985,4.424,4.587,4.07380001296997,Africa,Ouagadougou,12.366666666666667,-1.516667,75.2,0.0,6.91,12.0
135,Afghanistan,3.575,3.36,3.79399991035461,3.632,3.2030000000000003,3.5127999820709217,Asia,Kabul,34.516666666666666,69.18333299999999,41.0,75.0,4.61,48.0
136,Rwanda,3.465,3.515,3.47099995613098,3.408,3.334,3.438599991226196,Africa,Kigali,-1.95,30.05,59.07,100.0,0.96,93.0
137,Benin,3.34,3.484,3.65700006484985,4.141,4.883,3.9010000129699702,Africa,Porto-Novo,6.4833333333333325,2.6166669999999996,78.39,0.0,5.75,80.0
138,Syria,3.006,3.069,3.46199989318848,3.462,3.462,3.2921999786376963,Asia,Damascus,33.5,36.3,32.0,10.0,4.61,93.0
139,Burundi,2.905,2.905,2.90499997138977,2.905,3.775,3.0789999942779533,Africa,Bujumbura,-3.3666666666666667,29.35,70.36,100.0,1.99,72.0
140,Togo,2.839,3.303,3.4949998855590803,3.999,4.085,3.544199977111816,,,,,,,,
